MS SubClass,Lot Frontage,Street,Lot Shape,Utilities,Land Slope,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Mas Vnr Area,Exter Qual,Exter Cond,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,Bsmt Unf SF,Total Bsmt SF,Heating QC,Central Air,1st Flr SF,2nd Flr SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Enclosed Porch,Screen Porch,Pool QC,Fence,Mo Sold,Yr Sold,SalePrice,House_Age,Remod_Age,Total_SF,Total_Bathrooms,Has_Screen_Porch,Has_Enclosed_Porch,Lot Area_log,Open Porch SF_log,Neighborhood_Tier,Is_GasA,Is_CompShg,Is_Normal_Cond1,Is_Normal_Cond2,Has_Misc_Feature,MS Zoning_FV,MS Zoning_Other,MS Zoning_RH,MS Zoning_RL,MS Zoning_RM,Alley_No Alley Access,Alley_Pave,Land Contour_HLS,Land Contour_Low,Land Contour_Lvl,Lot Config_CulDSac,Lot Config_FR2,Lot Config_Inside,Bldg Type_2fmCon,Bldg Type_Duplex,Bldg Type_Twnhs,Bldg Type_TwnhsE,House Style_1Story,House Style_2Story,House Style_Other,House Style_SFoyer,House Style_SLvl,Roof Style_Hip,Roof Style_Other,Exterior 1st_CemntBd,Exterior 1st_HdBoard,Exterior 1st_MetalSd,Exterior 1st_Other,Exterior 1st_Plywood,Exterior 1st_VinylSd,Exterior 1st_Wd Sdng,Exterior 1st_WdShing,Exterior 2nd_CmentBd,Exterior 2nd_HdBoard,Exterior 2nd_MetalSd,Exterior 2nd_Other,Exterior 2nd_Plywood,Exterior 2nd_VinylSd,Exterior 2nd_Wd Sdng,Exterior 2nd_Wd Shng,Mas Vnr Type_BrkFace,Mas Vnr Type_None,Mas Vnr Type_Other,Mas Vnr Type_Stone,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,BsmtFin Type 2_BLQ,BsmtFin Type 2_GLQ,BsmtFin Type 2_LwQ,BsmtFin Type 2_No Basement,BsmtFin Type 2_Rec,BsmtFin Type 2_Unf,Electrical_FuseF,Electrical_Other,Electrical_SBrkr,Garage Type_Attchd,Garage Type_Basment,Garage Type_BuiltIn,Garage Type_CarPort,Garage Type_Detchd,Garage Type_No Garage,Sale Type_ConLD,Sale Type_New,Sale Type_Other,Sale Type_WD ,Sale Condition_AdjLand,Sale Condition_Alloca,Sale Condition_Family,Sale Condition_Normal,Sale Condition_Partial
20,141.0,1,3,4,3,6,5,1960,1960.0,112.0,3,3,3,4,4,4,639.0,441.0,1080.0,2,1,1656,0,1656,1.0,0.0,1,0,3,1,3,7,8,2,4,1960.0,3,2.0,528.0,3,3,1,210,0,0,0,0,5,2010.0,215000,50.0,50.0,2736.0,2.0,0,0,10.366309203003638,4.143134726391533,2,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
20,80.0,1,4,4,3,5,6,1961,1961.0,0.0,3,3,3,3,1,3,468.0,270.0,882.0,3,1,896,0,896,0.0,0.0,1,0,2,1,3,5,8,0,0,1961.0,1,1.0,730.0,3,3,2,140,0,120,0,3,6,2010.0,105000,49.0,49.0,1778.0,1.0,1,0,9.360741172643708,0.0,2,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
20,81.0,1,3,4,3,6,6,1958,1958.0,108.0,3,3,3,3,1,5,923.0,406.0,1329.0,3,1,1329,0,1329,0.0,0.0,1,1,3,1,4,6,8,0,0,1958.0,1,1.0,312.0,3,3,2,393,0,0,0,0,6,2010.0,172000,52.0,52.0,2658.0,1.5,0,0,9.565774546478782,3.6109179126442243,2,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
20,93.0,1,4,4,3,7,5,1968,1968.0,0.0,4,3,3,3,1,5,1065.0,1045.0,2110.0,5,1,2110,0,2110,1.0,0.0,2,1,3,1,5,8,8,2,3,1968.0,3,2.0,522.0,3,3,2,0,0,0,0,0,4,2010.0,244000,42.0,42.0,4220.0,3.5,0,0,9.320180837655714,0.0,2,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
60,74.0,1,3,4,3,5,5,1997,1998.0,0.0,3,3,4,3,1,6,791.0,137.0,928.0,4,1,928,701,1629,0.0,0.0,2,1,3,1,3,6,8,1,3,1997.0,3,2.0,482.0,3,3,2,212,0,0,0,3,3,2010.0,189900,13.0,12.0,2557.0,2.5,0,0,9.534667728624708,3.5553480614894135,2,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
60,78.0,1,3,4,3,6,6,1998,1998.0,20.0,3,3,3,3,1,6,602.0,324.0,926.0,5,1,926,678,1604,0.0,0.0,2,1,3,1,4,7,8,1,4,1998.0,3,2.0,470.0,3,3,2,360,0,0,0,0,6,2010.0,195500,12.0,12.0,2530.0,2.5,0,0,9.208238163884312,3.6109179126442243,2,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
120,41.0,1,4,4,3,8,5,2001,2001.0,0.0,4,3,4,3,2,6,616.0,722.0,1338.0,5,1,1338,0,1338,1.0,0.0,2,0,2,1,4,6,8,0,0,2001.0,3,2.0,582.0,3,3,2,0,170,0,0,0,4,2010.0,213500,9.0,9.0,2676.0,3.0,0,1,8.501267040865978,0.0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
120,43.0,1,3,4,3,8,5,1992,1992.0,0.0,4,3,4,3,1,5,263.0,1017.0,1280.0,5,1,1280,0,1280,0.0,0.0,2,0,2,1,4,5,8,0,0,1992.0,2,2.0,506.0,3,3,2,0,0,144,0,0,1,2010.0,191500,18.0,18.0,2560.0,2.0,1,0,8.518392471991719,4.418840607796598,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
120,39.0,1,3,4,3,8,5,1995,1996.0,0.0,4,3,4,3,1,6,1180.0,415.0,1595.0,5,1,1616,0,1616,1.0,0.0,2,0,2,1,4,5,8,1,3,1995.0,2,2.0,608.0,3,3,2,237,0,0,0,0,3,2010.0,236500,15.0,14.0,3211.0,3.0,0,0,8.592300663903043,5.030437921392435,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
60,60.0,1,4,4,3,7,5,1999,1999.0,0.0,3,3,3,3,1,1,0.0,994.0,994.0,4,1,1028,776,1804,0.0,0.0,2,1,3,1,4,7,8,1,3,1999.0,3,2.0,442.0,3,3,2,140,0,0,0,0,6,2010.0,189000,11.0,11.0,2798.0,2.5,0,0,8.922791623969637,4.110873864173311,2,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
60,75.0,1,3,4,3,6,5,1993,1994.0,0.0,3,3,4,3,1,1,0.0,763.0,763.0,4,1,763,892,1655,0.0,0.0,2,1,3,1,3,7,8,1,3,1993.0,3,2.0,440.0,3,3,2,157,0,0,0,0,4,2010.0,175900,17.0,16.0,2418.0,2.5,0,0,9.210440366976517,4.442651256490317,2,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
20,63.0,1,3,4,3,6,7,1992,2007.0,0.0,3,4,4,3,1,5,935.0,233.0,1168.0,5,1,1187,0,1187,1.0,0.0,2,0,3,1,3,6,8,0,0,1992.0,3,2.0,420.0,3,3,2,483,0,0,0,4,3,2010.0,185000,18.0,3.0,2355.0,3.0,0,0,8.984818995876008,3.091042453358316,2,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
60,63.0,1,3,4,3,6,5,1998,1998.0,0.0,3,3,4,3,1,1,0.0,789.0,789.0,4,1,789,676,1465,0.0,0.0,2,1,3,1,3,7,8,1,4,1998.0,3,2.0,393.0,3,3,2,0,0,0,0,0,5,2010.0,180400,12.0,12.0,2254.0,2.5,0,0,9.036344063928219,4.330733340286331,2,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
20,85.0,1,4,4,3,7,5,1990,1990.0,0.0,3,3,4,3,4,6,637.0,663.0,1300.0,4,1,1341,0,1341,1.0,0.0,1,1,2,1,4,5,8,1,1,1990.0,1,2.0,506.0,3,3,2,192,0,0,0,0,2,2010.0,171500,20.0,20.0,2641.0,2.5,0,0,9.227885551191932,0.0,2,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
120,86.0,1,3,4,3,8,5,1985,1985.0,0.0,4,3,4,3,3,6,368.0,0.0,1488.0,3,1,1502,0,1502,1.0,0.0,1,1,1,1,4,4,8,0,0,1985.0,2,2.0,528.0,3,3,2,0,0,140,0,0,6,2010.0,212000,25.0,25.0,2990.0,2.5,1,0,8.82776136765472,4.007333185232471,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
60,47.0,1,2,4,2,8,5,2003,2003.0,603.0,5,3,4,3,4,5,1416.0,234.0,1650.0,5,1,1690,1589,3279,1.0,0.0,3,1,4,1,5,12,5,1,4,2003.0,3,3.0,841.0,3,3,2,503,0,210,0,0,6,2010.0,538000,7.0,7.0,4929.0,4.5,1,0,10.887530386461101,3.6109179126442243,1,1,1,1,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
50,152.0,1,3,4,2,8,7,1988,2005.0,0.0,4,3,4,3,3,6,427.0,132.0,559.0,4,1,1080,672,1752,0.0,0.0,2,0,4,1,3,8,8,0,0,1988.0,2,2.0,492.0,3,3,2,325,0,0,0,0,6,2010.0,164000,22.0,5.0,2311.0,2.0,0,0,9.403849118160702,2.5649493574615367,2,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
20,88.0,1,4,4,3,9,2,2010,2010.0,350.0,4,3,5,3,3,6,1445.0,411.0,1856.0,5,1,1856,0,1856,1.0,0.0,1,1,1,1,5,8,8,1,5,2010.0,3,3.0,834.0,3,3,2,113,0,0,0,0,6,2010.0,394432,0.0,0.0,3712.0,2.5,0,0,9.340929941679784,0.0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
20,140.0,1,4,4,3,4,5,1951,1951.0,0.0,3,3,3,3,1,2,120.0,744.0,864.0,5,1,864,0,864,0.0,0.0,1,0,2,1,3,4,8,0,0,1951.0,1,2.0,400.0,3,3,2,0,0,0,0,0,6,2010.0,141000,59.0,59.0,1728.0,1.0,0,0,9.859483417038073,0.0,2,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
20,85.0,1,4,4,3,6,6,1978,1988.0,119.0,3,3,4,3,1,5,790.0,589.0,1542.0,3,1,2073,0,2073,1.0,0.0,2,0,3,1,3,7,7,2,3,1978.0,1,2.0,500.0,3,3,2,349,0,0,0,3,2,2010.0,210000,32.0,22.0,3615.0,3.0,0,0,9.486152271857476,0.0,2,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
20,105.0,1,3,4,3,6,6,1977,1977.0,480.0,3,3,4,3,1,4,705.0,1139.0,1844.0,5,1,1844,0,1844,0.0,0.0,2,0,3,1,3,7,8,1,3,1977.0,2,2.0,546.0,3,3,2,0,0,0,0,3,1,2010.0,190000,33.0,33.0,3688.0,2.0,0,0,9.371778717853713,4.812184355372417,2,1,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
